task_id,run_id,iteration,severity,issue_summary,acceptance_check,status,human_decision,notes
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-011,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,figure unknown result F002,result_id in result_contract,closed,closed,R05-R06 exist
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-012,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,figure unknown result F003,result_id in result_contract,closed,closed,R05-R06 exist
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-013,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,figure unknown result F004,result_id in result_contract,closed,closed,R05-R06 exist
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-014,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,unsupported claim C06,no unsupported claim,closed,closed,Claim C06 citation_id empty; support_grade is moderate not citation
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-015,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,polish changed protected atom,no polish violation,blocked,blocked,Undiagnosed polish_diff issue; human investigation required
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-016,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,score below threshold row2,score >=85%,closed,closed,Score now >=90%
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-017,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,review fail unclosed row2,no fail row,closed,closed,Row2 status closed
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-018,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,score below threshold row3,score >=85%,closed,closed,Row3 score 10/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-019,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,score below threshold row4,score >=85%,closed,closed,Row4 score 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-020,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,score below threshold row5,score >=85%,closed,closed,Row5 score 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-021,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,score below threshold row6,score >=85%,closed,closed,Row6 score 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-022,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,score below threshold row7,score >=85%,closed,closed,Row7 score 9/10
