artifact_id,artifact_type,path,hash_sha256,producing_stage,freeze_reason,freeze_time,protected_atoms,allowed_changes,owner,status,notes
RF-VALIDATION,validation_evidence,07_results/result_freeze_validation/validation_summary.json,77a2a7c153c61ff5a3b01f668ab4efe4b7afc2126d38f61fabbbc9fb9a422f13,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-REPORT,result_freeze_report,07_results/result_freeze_report.md,2b6299b00027dd92d313fc6186714825f85d16d6b93436dd91e1100aa8fab331,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
FRZ-MANIFEST,frozen_manifest,07_results/frozen/frozen_manifest.json,314807276094381f3de3c79cfe5a5cace895470b3f24360be4fe4604741a2baa,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-CONFIRM,freeze_confirmation,07_results/frozen/freeze_confirmation.md,7551ce4a410f7baa251aa039674e9dc5c10f1da0cc91fc5de74b3fbd4523468e,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-METRICS,metrics,07_results/frozen/metrics_summary.csv,8516dedce7eb62c8e1960a1ffe9ddb2d3ce4c9a74d7dda3db500b3b71ec49efb,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-Q1,plan_detail,07_results/frozen/q1_results.csv,524e8ed647e1eedbe5da0040d40ff8f8067ee6da96e3824d7a054ddfd76578c2,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-Q2,plan_detail,07_results/frozen/q2_results.csv,723ae574fabc2642da5cec6fc3a1774fb88615cc7b83ff7b1f7e1c089a6da60f,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-Q3,plan_detail,07_results/frozen/q3_results.csv,e8f7bbf34c66a100a4cc14f6245badacbbb8c557130ff9e10476476262b47cba,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-Q4,plan_detail,07_results/frozen/q4_results.csv,93b19065423ea2ec39c40c091129a0b0c2cd263a35117377fe59b8be6ce17230,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-Q5,plan_detail,07_results/frozen/q5_results.csv,5968c681511c15244a3250ecb9a0993e260c763f92347913b2cd6b365e5feb87,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-TEMPLATE-1,official_template,07_results/frozen/result1.xlsx,0ab973de0344304447c11b6be48d21df41ac554b15d813dcc3980d9a62cdb1ec,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-TEMPLATE-2,official_template,07_results/frozen/result2.xlsx,f4b72f39d8b78a5f5a97da63e79ced1a4421ca5f4392e40b7668953458c25c0a,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
FRZ-TEMPLATE-3,official_template,07_results/frozen/result3.xlsx,108984d14cc940944a0d0a14a79383275abe58c3843c883833ba72fc9a1a24a7,result_freeze,Human result_freeze_gate confirmed by the controller.,2026-07-22T12:00:58+00:00,plans;coordinates;durations;intervals;template cells;manifest,Only an authorized result-revision workflow may supersede this artifact.,Human gate confirmed; Codex recorded,frozen,freeze_id=RF-20260722T114756Z; copied from the verified ready package.
