task_id,run_id,iteration,severity,target_artifact,issue_summary,proposed_action,acceptance_check,status,human_decision,notes
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-011,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'gate_id': 'final_export_gate', 'gate_name': 'final_export', 'simulated': 'yes', 'confirmed_by': 'simulated', 'formal_effect': 'formal_effect=none', 'timestamp': '2026-06-04T11:30:00Z', 'notes': 'simulated human gate for final_export'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-012,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 2: 3.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-013,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 3: 2.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-014,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 4: 1.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-015,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 5: 1.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-016,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 6: 1.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-017,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 7: 3.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-018,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\review_scorecard.csv,row 8: 2.0/10.0,"Fix the underlying low-score artifacts first: result sources, figure files/contracts, paper sections, evidence bindings, and revision tasks; then rerun auto_review so scores rise above threshold.","Every review_scorecard row is at least 85% of max_score, with supporting artifact fixes present.",open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-019,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,14_contracts/figure_contract.csv,F001 has neither result_id nor evidence_source,"Bind each active figure to a result_id/evidence_source, or to claim_ids whose claims cite a result evidence_ref.",validate_contracts.py no longer reports figure_without_result_source.,open,,contract_item=figure_without_result_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-020,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,14_contracts/figure_contract.csv,F002 has neither result_id nor evidence_source,"Bind each active figure to a result_id/evidence_source, or to claim_ids whose claims cite a result evidence_ref.",validate_contracts.py no longer reports figure_without_result_source.,open,,contract_item=figure_without_result_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-021,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,14_contracts/figure_contract.csv,F003 has neither result_id nor evidence_source,"Bind each active figure to a result_id/evidence_source, or to claim_ids whose claims cite a result evidence_ref.",validate_contracts.py no longer reports figure_without_result_source.,open,,contract_item=figure_without_result_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-022,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,14_contracts/figure_contract.csv,F004 has neither result_id nor evidence_source,"Bind each active figure to a result_id/evidence_source, or to claim_ids whose claims cite a result evidence_ref.",validate_contracts.py no longer reports figure_without_result_source.,open,,contract_item=figure_without_result_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-023,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,14_contracts/figure_contract.csv,F005 has neither result_id nor evidence_source,"Bind each active figure to a result_id/evidence_source, or to claim_ids whose claims cite a result evidence_ref.",validate_contracts.py no longer reports figure_without_result_source.,open,,contract_item=figure_without_result_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-024,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,14_contracts/figure_contract.csv,F006 has neither result_id nor evidence_source,"Bind each active figure to a result_id/evidence_source, or to claim_ids whose claims cite a result evidence_ref.",validate_contracts.py no longer reports figure_without_result_source.,open,,contract_item=figure_without_result_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-025,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 2: 30.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-026,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 3: 20.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-027,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 4: 10.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-028,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 5: 10.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-029,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 6: 10.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-030,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 7: 30.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-CONTRACT-031,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,contract_validation,fail,11_review/review_scorecard.csv,row 8: 20.0 < 85.0,"Improve the underlying result sources, figures, paper, and evidence bindings before rerunning auto_review.",review_scorecard.csv scores are at least 85% of max_score and the artifact fixes are present.,open,,contract_item=review_score_below_threshold
